成员,分组,所属州,势力值,贡献排行,战功本周,助攻本周,捐献本周,战功总量,助攻总量,捐献总量,战功增长,助攻增长,捐献增长,势力增长,执行状态,违规,状态,建议,评分,风险原因,分类,优先类别,优先级排名
桂堂东,散人强兵,汉中,34110,211,38367,0,0,611470,25243,41544335,13597,0,0,1280,主力打架,正常,正常,保持,82,无助攻增长，无捐献增长,正常成员,50,1
葳葳,未分组,巴郡,23756,134,76123,2484,0,2018567,32276,18054796,34091,2484,0,1056,主力打架,正常,正常,保持,79,无捐献增长,正常成员,50,2
西格玛帅,零战功,巴东,23419,227,6978,350,0,427222,15434,0,5566,350,0,1643,主力打架,正常,正常,保持,73,无捐献增长,正常成员,50,3
饼饼丨杨屏屏,折柳后勤,巴东,41812,20,18214,74541,0,5852273,139667,0,0,5560,0,3479,参与攻城,正常,正常,保持,70,战功偏低，无捐献增长,正常成员,50,4
轩辕丨祁昕,轩辕尖刀,巴郡,33235,17,0,0,0,5014235,0,15300547,5014235,0,15300547,33235,主力打架,正常,核心,优先资源,97,无助攻增长,核心成员,99,5
轩辕丨溜帝,轩辕尖刀,巴郡,28074,109,0,8250,0,1859111,8250,8841743,1859111,8250,8841743,28074,主力打架,正常,核心,优先资源,94,正常,核心成员,99,6
詩酒趁年華,西蜀盟友,西蜀,33300,86,138374,15885,0,437017,18067,0,52384,15380,0,1277,主力打架,正常,核心,优先资源,85,无捐献增长,核心成员,99,7
